Language,Poem Title,Translated Title,Poet,Translator,Original Poems,Translated Poems
"Assamese","O Mur Apunar Desh","O My Native Land","Lakshminath Bezbarua","Prasanta Kumar Dutta
","ও মুর আপোনাৰ দেশ
ও মুর আপোনাৰ দেশ,
তাত শান্তি আৰু স্নেহ।
মোৰ হৃদয়ৰ গহীনত
মোৰ পুৰণি সপোন।","O My Native Land
O my native land,
There is peace and love there.
In the depths of my heart,
Lie my old dreams."
"Assamese","Kobita","Poetry","Nilima Dutta","Anupama Dutta","কবিতা
কবিতা, তোমাৰ শব্দত
বহু ৰঙৰ সুৰ বাজে,
হৃদয়ৰ মূৰত স্পন্দিত
এখন অদ্ভুত সঙ্গীত।","Poetry
In your words, O Poetry,
Many colors play their tune,
Resonating in the heart's core,
An extraordinary melody."
"Assamese","Nadi","The River","Bhupen Hazarika","Various","নদী
নদী, তুঁতৰ বাণী বহে
প্ৰবাহিত শান্তিৰ বাটে,
মোৰ বুকুত তোমাৰ সুৰ
সাজে যুগে যুগে।","The River
O River, your voice flows
Along the path of peace,
In my heart, your melody
Plays through the ages."
"Assamese","Brahmaputra","The Brahmaputra","Hiren Bhattacharya","Paulami Ghosh","ব্ৰহ্মপুত্ৰ
ব্ৰহ্মপুত্ৰ, তোমাৰ স্রোত
হৃদয়ৰ গভীৰতাত বয়,
মোৰ চিন্তাৰ সঙ্গীতত
বহা তোমাৰ গতি।","The Brahmaputra
O Brahmaputra, your flow
Moves in the depths of the heart,
In the melody of my thoughts
Flows your rhythm."
"Assamese","Majuli","Majuli","Nirmalprabha Bordoloi","Debashish Das","মাজুলি
মাজুলি, তোমাৰ জলেৰে
স্নান কৰি মোনাৰ,
সেই সবুজৰ বাগিচাত
সপোনৰ ফুল ফুলি উঠে।","Majuli
Majuli, bathed in your waters,
With love, I dream,
In that garden of green,
Dreams blossom and rise."
"Assamese","Jibon","Life","Sananta Tanty","S. R. Das","জীৱন
জীৱন, তুমি এক বুৰঞ্জী
অতি বেয়া মেঘৰ মাজত,
সপোনৰ মৰমত দিয়া
হৃদয়ৰ চেনেহৰ বাঁহী।","Life
Life, you are a history
Amidst the darkest clouds,
Gifted in the love of dreams,
The flute of the heart's affection."
"Assamese","Pratima","The Idol","Sahityarathi Bhattacharya","Anindita Bhattacharjee","প্রতিমা
প্রতিমা, তুমি এক নিবেদনে
স্নেহৰ পবনে আহা,
মোৰ মনৰ প্ৰতিধ্বনি,
আকাশত বেজে ওঠা।","The Idol
Idol, you come in a dedication
With the breeze of affection,
The echo of my heart,
Resounding in the sky."
Bengali,Chitto Jetha Bhayshunyo,Where the Mind is Without Fear,Rabindranath Tagore,Rabindranath Tagore,"চিত্ত যেথা ভয়শূন্য, উচ্চ যেথা শির,
জ্ঞান যেথা মুক্ত, যেথা গৃহের প্রাচীর
আপন প্রাঙ্গণতলে দিবসশর্বরী
বসুধারে রাখে নাই খণ্ড ক্ষুদ্র করি,
যেথা বাক্য হৃদয়ের উৎসমুখ হতে
উচ্ছ্বসিয়া উঠে, যেথা নির্বারিত স্রোতে
দেশে দেশে দিশে দিশে কর্মধারা ধায়
অজস্র সহস্রবিধ চরিতার্থতায়,
যেথা তুচ্ছ আচারের মরুবালুরাশি
বিচারের স্রোতঃপথ ফেলে নাই গ্রাসি,
পৌরুষেরে করে নি শতধা, নিত্য যেথা
তুমি সর্ব কর্ম চিন্তা আনন্দের নেতা,
নিজ হস্তে নির্দয় আঘাত করি, পিতঃ;
ভারতেরে সেই স্বর্গে করো জাগরিত৷","Where the mind is without fear and the head is held high;
Where knowledge is free;
Where the world has not been broken up into fragments by narrow domestic walls;
Where words come out from the depth of truth;
Where tireless striving stretches its arms towards perfection;
Where the clear stream of reason has not lost its way into the dreary desert sand of dead habit;
Where the mind is led forward by thee into ever-widening thought and action—
Into that heaven of freedom, my Father, let my country awake."
Bengali,Banalata Sen,Banalata Sen,Jibanananda Das,Anne Walmsley,"শ্রাবণী নিশার গভীর নীরবতা,
শালিকের বীণায়, একটি শুদ্ধ গানের সুরে।
এত দীর্ঘ দিনের ক্লান্তি, এত রাতে,
বিরুদ্ধ প্রান্তর, বিস্তৃত শূন্যতার ঢাল।
 
বহু রাত আমার বিশ্রামহীন,
বহু শারদ অতিক্রান্ত।
সেই রাতে, অচেতন চরণ,
বহু পথে পায়ে মাড়িয়ে যাওয়ার পরে,
বহু দগ্ধ নিশাতীর্থে ফিরে আসার পরে,
সেই রাতে, মায়াবী চেনা,
বদলে যায় সব কিছু,
পাল্টে যায় চারদিকের সমুদ্র।

সন্ধ্যার পূর্ণিমা স্নিগ্ধতা,
অথবা অগ্নি পতঙ্গ উড়াল।
বিরক্তির মাঝে, এমন এক রূপ-চোখ,
তুমি নিঃশব্দে,
গহন গহনে, সামনে।
 
আমি আবার ফিরে আসবো,
এই বিচিত্র দেশে।
যেখানে প্রেম, আশা, সুগন্ধ।

মাঝে মাঝে ফিরে আসবো,
সেই অন্ধকার পথে,
যেখানে মুক্তির সূচনা।","In the deep silence of the rainy night,
In the melody of the oriole's lute,
The weariness of so many days,
In the vast emptiness of a divided landscape.

Many nights I have spent restless,
Many autumns have passed.
That night, in an unconscious step,
After treading many paths,
After returning from many burning shores,
That night, a familiar spell,
Everything changes,
The sea around me shifts.

The evening full moon's serenity,
Or the fluttering of fireflies.
In the midst of annoyance, such a lovely gaze,
You, in silence,
In the depth of the void, stand before me.

I will return again,
To this diverse land.
Where love, hope, fragrance abound.

From time to time, I will return,
Along that dark path,
Where the dawn of liberation begins."
Bengali,Aaj Nover Sukh,The Happiness of Today,Kazi Nazrul Islam, M. R. Choudhury,"আজ নবের সুখ,
বাতাসে বহে।
মনেতে আশা,
নব উদয়েতে আসে।
 
হৃদয়ে গুনগুন,
চোখে আনন্দ।
নব জগতের সুখে,
আমি উঠে দেখি আনন্দ।

আকাশে নীলাভ, 
পৃথিবীতে সোনালী।
আমি চাই, 
অন্তহীন সুখে হর্ষে।

তুমি আজকে আমার,
এমনকি পাশে থাকো।
ভালোবাসা দিয়ে,
আমার হৃদয়ে থাকো।

আমার জীবন হলো,
নবের শুরু।
আমি তোমাকে চাই,
সাথে আমার যুগল।
","Today is the happiness of a new dawn,
Blowing in the breeze.
Hope in the heart,
With the new sunrise comes.

A humming in the heart,
Joy in the eyes.
In the bliss of the new world,
I rise and see the joy.

In the sky is blue,
On earth is gold.
I wish for,
Endless happiness and cheer.

You are with me today,
Even standing by my side.
With love,
Stay in my heart.

My life has become,
The beginning of a new.
I want you,
By my side, my love."
Bengali,O Amar Desher Mati,O Soil of My Country,Kazi Nazrul Islam,Keki N. Daruwalla,"ও আমার দেশের মাটি,
তোমার কল্যাণে চাহি,
প্রাণে প্রাণে মিলে যেতে,
গানের সুরে চাহি।

স্নেহের বৃষ্টি নামে,
বৃষ্টি মাথার উপর।
জীবনের পথ চলে,
শান্তির আলো তোলে।

সৃষ্টির খোঁজে যাই,
তুমি আমার শিকড়।
দেশের মাটির সুরে,
পেতে চাই তোমার টান।

ও আমার দেশের মাটি,
অশ্রুর নদী flows,
মা তুমি, মাটি তুমি,
সুখে থাকুক সারা জীবন।","O soil of my country,
In your welfare, I seek,
To blend together in life,
In the melody of songs.

The rains of affection fall,
Raining upon my head.
The path of life travels,
Bringing forth the light of peace.

I go in search of creation,
You are my roots.
In the tune of the soil,
I long for your embrace.

O soil of my country,
The river of tears flows,
Mother, you are the land,
May you be happy all your life."
Bengali,Ekla Cholo Re,Walk Alone,Rabindranath Tagore,Rabindranath Tagore,"একলা চলো রে,
যদি কেউ আসে না।
যদি আমি পথ ভুলে যাই,
হারা হবার পরেও,
একলা চলো রে।
 
যদি দিনের শেষে,
বাঁধা পরে যায়।
অথবা তুমি যদি হতাশ,
বাঁধা দেবে না,
একলা চলো রে।

যখন কেউ এসে বলে,
তুমি দুঃখী, 
এখন ফিরে যাও।
তবুও তুমি,
একলা চলো রে।","Walk alone.
If no one comes along.
If I lose my way,
Even after losing,
Walk alone.

If at the end of the day,
You are held back.
Or if you are disheartened,
Do not let it stop you,
Walk alone.

When someone comes and says,
You are sad,
Now turn back.
Still, you,
Walk alone."
Bengali,Anondolokey,In the Land of Joy,Sukanta Bhattacharya,Various,"আনন্দলোকেতে অঙ্গন ফল।
বুলবুলের গানে গাইছে,
জাদুর খেলা মূর্ছনাতে,
সেথা প্রেমের পরশ।

আনন্দলোকেতে অঙ্গন ফল।
মেঘের বুকে খেলে যায়,
জলের প্রবাহে ভাসে,
সেথা প্রেমের পরশ।

সন্ধ্যাবেলা পাখির গান,
নদীর তীরে মনের গান।
আনন্দলোকেতে অঙ্গন ফল,
বুলবুলের গানে গাইছে।","In the land of joy, the courtyard is full of fruits.
The bulbul sings,
In the enchantment of magic,
There, the touch of love.

In the land of joy, the courtyard is full of fruits.
It plays on the back of the clouds,
Floats in the flow of water,
There, the touch of love.

In the evening, the bird sings,
On the riverbank, the song of the heart.
In the land of joy, the courtyard is full,
The bulbul sings."
Bengali,O Mor Boshonto,O My Spring,Jibanananda Das,Prasenijit Gupta,"ও মোর বসন্ত, আমি তোরে চিনি।
ঝিরঝিরে বৃষ্টির টানে,
আমার হিয়া ভাসে।
আশার গানে গাই তোরে।
যাওয়া ফুলের গন্ধে,
নতুন স্বপ্ন জাগায়ে,
মনে মনে বলি, আমি তোকে ভালবাসি।

স্মৃতির ফুল হয়ে,
তুই এলে পাশে,
মোর স্বপ্নের বাগানে,
চলছে মিষ্টি গান।
ফুলের গন্ধে খোলে,
মনে মনে তুই হাসি,
ও মোর বসন্ত, আসো ফিরে।","O my spring, I know you.
In the gentle pull of the rain,
My heart floats.
I sing to you in the song of hope.
In the fragrance of flowers gone,
Awakening new dreams,
I say to myself, I love you.

As a flower of memory,
When you come beside,
In my garden of dreams,
A sweet song plays.
In the fragrance of flowers, it opens,
In my heart, you smile,
O my spring, come back again."
Bengali,Agni Baran,"Invocation of Fire","Jibanananda Das",Various,"অগ্নি বারণ, অগ্নি বারণ।
রাতের অন্ধকারে একা হাঁটি,
যে পায়ে তুলি মাটির সোনালী তিলক।
অগ্নির বাহনের পায়ে গড়িয়ে পড়ে,
নৃত্য দেখে হাওয়া উড়ে যায়।

বুকের মধ্যে, অগ্নির মাতৃবিরোধী সুর।
মায়ের কোলের মতো মিষ্টি স্বপ্ন।
অগ্নি, তুমি আমি চিনি,
বাঁচার জন্য, অগ্নির সহিত জীবন।

শিশু দিনের শিশিরে, 
পিয়ালার ফুল ফুটে ওঠে।
অগ্নি বারণ, আমি চলি,
গায়ে অগ্নি, দীপের আলো মাখা।","Invocation of Fire, Invocation of Fire.
In the darkness of night, I walk alone,
With feet that touch the golden tilak of the earth.
Rolling down the feet of the fire’s chariot,
The wind flies away, watching the dance.

In my chest, a melody against the fire’s mother.
Sweet dreams, like a mother’s embrace.
Fire, you are what I know,
For life, life with fire.

In the dew of childhood days,
The flower of the peal blooms.
Invocation of Fire, I proceed,
With the fire, smeared in the light of the lamp."
